CantonCode;Address
AG;5001 Aarau, DGS, Postfach 2254
AI;9050 Appenzell, GSD, Postfach 162
AR;9100 Herisau, ZS Zertifikate, Schützenstrasse 1
BE;3000 Bern 8, GSI, Postfach 552
BL;4410 Liestal, VGD BL, Postfach 639
BS;4001 Basel, GD BS, Postfach 2048
FR;1752 Villars-sur-Glâne, SMC, Rte de Villars 101
GE;1207 Genève, DGS, Service du Médecin Cantonal, rue Adrien-Lachenal 8
GL;8750 Glarus, DFG, Postfach 768
GR;7001 Chur GA Kt. GR, Postfach 999
JU;2800 Delémont, SSA, case postale 386
LU;6002 Luzern, DIGE, Postfach 3439
MI;3003 Bern, Mil Az D, Worblentalstrasse 36
NE;2000 Neuchâtel, SSP, Secrétariat de Vaccination, Rue des Draizes 5
NW;6371 Stans, GSD GA, Postfach 1243
OW;6060 Sarnen, GA, Fachstelle Covid, St. Antonistrasse 4
SG;9001 St. Gallen, GD, Postfach 1640
SH;8200 Schaffhausen. GA, Mühlentalstrasse 105
SO;4500 Solothurn GA, Ambassendorenhof / Riedholzplatz 3
SZ;6431 Schwyz, AGS, Postfach 2161
TG;8510 Frauenfeld, AfG, Promenadenstrasse 16
TI;6802 Rivera CIPC, Via Ravello 2
UR;6460 Altdorf, AfG, Klausenstrasse 4
VD;1007 Lausanne, OMC CT, Chemin des Plaines 17
VS;1951 Sion, SSP, case postale 478
ZG;6340 Baar, Impfzentrum, Langgasse 40
ZH;8330 Pfäffikon ZH, JDMT, Speerstrasse 15
